Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,80,93384.63,92965.65,93399.58,92972.164,92130.17,95205.22,92631.15,94941.6,56952.11,56732.89,56933.91,56713.35,56257.387,58359.355,56388.543,58007.777,30771.748,30692.059,30765.54,30670.533,30259.77,31643.26,30453.508,31303.598,-Inf,1
1,1,81,93892.516,93683.5,93781.97,93556.1,92564.48,94864.59,93857.65,94961.53,57387.2,57210.67,57339.152,57156.336,56481.152,58231.68,57085.14,57986.367,31078.19,30990.117,31055.111,30968.902,30620.441,31625.148,30761.398,31217.387,-Inf,1
1,1,82,94818.61,94653.086,94802.13,94623.58,93889.06,95016.7,93350.53,95139.125,57918.78,57840.086,57883.316,57796.86,57324.03,58334.062,56621.812,57980.344,31297.594,31249.574,31273.066,31231.36,31018.889,31694.592,30343.393,31255.887,-Inf,1
1,1,83,95096.59,94985.48,95109.05,95013.06,94631.055,95360.98,92916.984,95151,58176.406,58096.645,58192.066,58107.617,57861.633,58601.86,56366.594,58205.582,31554.256,31473.738,31550.428,31483.674,31347.168,31909.754,30190.223,31558.914,-Inf,1
1,1,84,94999.66,94890.64,95020.16,94917.086,94588.72,95250.625,93266.05,95163.07,58180.957,58068.67,58194.742,58087.676,57799.27,58582.723,56645.5,58403.254,31672.86,31602.795,31687.348,31620.803,31476.533,31956.324,30518.088,31856.352,-Inf,1
1,1,85,94482.58,94405.56,94515.15,94422.62,94123.56,94791.02,92411.984,94794.47,57824.027,57708.797,57858.29,57754.03,57420.523,58223.25,56149.52,58139.47,31403.467,31297.697,31421.682,31333.195,31156.016,31698.94,30206.264,31768.28,-Inf,1
1,1,86,94037.734,93893.664,94091.18,93958.61,93651.125,94639.67,90487.75,94264.75,57359.63,57213.617,57411.156,57276.652,57026.117,58025.58,55176.42,57657.406,30994.775,30864.271,31065.979,30932.473,30739.977,31557.982,29694.701,31316.43,-Inf,1
1,1,87,93799.21,93612.62,93925.08,93743.66,93440.58,94568.6,90522.62,93531.195,57229.68,57057.168,57337.95,57178.02,56955.457,57976.195,55287.24,57036.426,30888.592,30748.049,30970.766,30836.018,30702.305,31539.56,29803.574,30756.742,-Inf,1
1,1,88,94130.45,93947.5,94290.42,94176.44,93776.414,94698.875,91649.49,93577.37,57627.562,57469.105,57734.36,57601.867,57355.348,58114.58,55853.883,57097.316,31394.049,31277.518,31473.324,31347.271,31178.06,31766.312,30181.53,30890.766,-Inf,1
1,1,89,94244.64,93928.15,94267.625,94006.5,93030.02,94864.016,93746.15,94744.47,57829.78,57607.49,57894.29,57680.293,57021.3,58235.293,57147.24,57959.734,31692.938,31517.62,31732.367,31566.158,31197.621,31946.39,31014.646,31598.344,-Inf,1
1,1,90,94601.164,94445.22,94584.69,94438.13,93795.57,94842.17,93832.55,94872.06,57882.914,57752.695,57874.48,57729.676,57264.207,58207.188,57306.9,58294.984,31555.084,31444.037,31555.809,31435.55,31085.332,31893.299,31162.02,31955.084,-Inf,1
1,1,91,93679.28,93491.34,93639.24,93443.26,92475.2,94216.28,93657.83,94640.25,57176.812,57032.543,57144.16,56999.62,56279.6,57717.63,57236.906,57964.15,31010.92,30889.938,30987.22,30835.19,30302.41,31420.646,31113.17,31542.664,-Inf,1
1,1,92,93354.75,93192.67,93334.82,93165.27,92134.766,93895.77,92614.29,94280.84,56847.453,56733.695,56807.168,56665.44,56016.49,57392.688,56319.22,57610.43,30695.268,30621.994,30658.217,30566.523,30084.764,31134.8,30371.543,31156.223,-Inf,1
0,2,1,89429.47,89132.9,89582.16,89289.42,88829.82,92349.72,89204.93,91921.34,54391.23,54282.69,54470.19,54339.438,53968.99,56216.434,54291.39,55772.914,29039.385,28907.432,29075.4,28933.098,28766.06,30269.809,29229.088,29975.477,0,1
